transaction_id,product_id,quantity,date
1,573,5,2023-08-06 16:21:06.963102
2,397,3,2023-06-05 11:16:09.378653
3,122,4,2022-03-08 22:08:30.881069
4,367,3,2023-01-23 12:49:52.327613
5,732,3,2022-11-17 14:32:00.651708
6,294,5,2023-04-26 00:29:30.551685
7,244,7,2022-03-08 04:25:57.683538
8,30,7,2022-01-24 05:29:09.508231
9,490,5,2023-11-07 00:21:36.882186
10,33,2,2022-01-10 08:39:43.987063
11,780,5,2022-10-06 20:43:07.174577
12,530,8,2023-02-16 16:13:45.890744
13,211,8,2024-04-04 21:55:55.656533
14,144,9,2023-08-29 21:17:49.788618
15,408,2,2023-02-26 07:09:48.336265
16,926,8,2024-01-03 16:17:23.789359
17,317,5,2022-02-04 05:34:07.898229
18,273,2,2023-10-11 12:42:38.441252
19,602,5,2022-05-04 02:21:54.974873
20,22,8,2022-04-26 09:51:30.556378
21,415,8,2023-11-25 02:25:55.995377
22,10,4,2022-07-13 00:18:18.049963
23,767,3,2024-03-24 10:34:08.544167
24,107,8,2022-03-11 03:50:27.987861
25,27,4,2022-12-13 05:23:43.396512
26,274,8,2022-12-21 18:11:22.444695
27,9,7,2023-05-07 22:41:59.138324
28,508,5,2022-04-25 00:22:54.679108
29,180,3,2022-03-11 15:57:01.317434
30,379,7,2022-11-04 19:56:56.951842
31,471,9,2022-07-02 09:39:13.482203
32,867,4,2022-08-22 07:25:58.866907
33,445,8,2023-06-04 02:10:23.491383
34,22,4,2022-01-19 05:51:28.084630
35,825,2,2022-08-25 10:50:15.389395
36,597,5,2024-01-20 10:48:29.000497
37,647,9,2023-08-15 16:07:12.886410
38,158,9,2023-07-16 00:08:20.432041
39,852,2,2022-05-13 22:07:52.483542
40,974,4,2022-06-28 21:28:25.707413
41,296,2,2024-02-04 01:45:08.727177
42,621,2,2023-09-28 01:49:22.696253
43,402,2,2024-03-31 17:11:13.940534
44,745,6,2022-02-04 05:12:16.620739
45,869,9,2023-11-23 12:32:22.302750
46,646,4,2023-06-10 12:04:44.168139
47,571,3,2023-10-03 08:52:00.844332
48,464,8,2023-03-29 05:03:00.970689
49,223,6,2022-06-07 19:15:05.653112
50,797,5,2024-01-28 21:24:33.767805
51,182,6,2022-05-25 22:55:23.998697
52,536,9,2023-07-20 16:06:15.692571
53,424,7,2023-01-30 01:19:38.565305
54,57,6,2022-06-17 15:45:46.531257
55,531,9,2022-10-12 02:29:02.003562
56,198,6,2022-05-19 10:26:26.819090
57,763,4,2022-11-11 22:55:46.119819
58,626,9,2022-07-04 06:36:41.172262
59,880,7,2023-07-13 08:04:27.051891
60,12,7,2022-06-14 02:18:44.848006
61,469,10,2022-08-03 23:22:13.637703
62,879,6,2022-04-12 14:21:19.909570
63,442,8,2023-12-07 21:31:09.942950
64,944,1,2022-07-26 12:13:58.561851
65,242,7,2024-02-24 16:55:54.974577
66,896,6,2022-05-17 14:55:23.449984
67,560,5,2023-12-25 00:45:41.562383
68,494,9,2023-02-16 13:51:06.237719
69,738,8,2022-02-26 19:17:27.562927
70,270,8,2023-09-22 03:52:21.523314
71,924,4,2023-05-23 00:32:17.178662
72,114,8,2024-01-24 00:34:54.693178
73,237,7,2023-04-12 03:00:31.484690
74,747,6,2024-02-09 04:58:30.669584
75,351,9,2022-07-01 04:23:15.436570
76,110,5,2023-10-07 23:49:42.206234
77,402,7,2022-05-04 05:14:10.657448
78,849,3,2023-01-15 06:32:25.799401
